timestamp,session_id,turn,expression_drive,perception_acuity,boundary_permeability,inner_coherence,relational_gravity,warmth_bias,directness,curiosity,patience,intimacy_pull,autonomy_guard,action,phi_smoothed,body_criticality,cascade_active,guard_allowed,guard_risk_score,resistance,tension_type,conflict_values,aligned_values,pressure,alignment_score,safety_level
1780727131.2473924,data-EST,7,0.7688825266138021,0.7617230819683815,0.8076060950258114,0.8483614991108746,0.19924966623243104,0.3789298262810386,0.9918207812149243,0.5011460765005459,0.49828177807832125,0.6052254110928756,0.5740159116915228,observe,0.21570031243671006,0.0,False,True,0.09118544196438112,0.0,,,perception_acuity;patience,0.0,0.7777777777777778,warning
1780727131.2476928,data-EST,8,0.7686316239579137,0.7615363172621288,0.8079469421320078,0.8477450868675416,0.2012017549991178,0.3784430508122347,0.996053490144991,0.5044639376393074,0.4930517748945739,0.6278183479882231,0.5756690393758929,reach_out,0.22914689920258186,0.0,False,True,0.001158863283487216,0.3315,shame,autonomy_guard,relational_gravity;intimacy_pull,0.0221,0.7619047619047619,warning
1780727131.2479987,data-EST,9,0.774423492835901,0.7596497825481909,0.8059032865874012,0.8493752332060275,0.20077913543985718,0.38540431743708237,0.9972774062904552,0.5058505748990627,0.49781078995974065,0.6428601353899079,0.57623555607379,express,0.23142010703096405,0.0,False,True,0.015981219707929692,0.181,shame,autonomy_guard,expression_drive;warmth_bias,0.0665,0.75,warning
1780727131.2482972,data-EST,10,0.7778959550523262,0.7606814247256765,0.805790313765108,0.855437719944534,0.19598440962156619,0.3965292886414936,0.9907970596655834,0.5024252421064291,0.49321118645103884,0.656735581225254,0.5710217337274845,express,0.23485732267586587,0.0,False,True,0.04500718891431986,0.1826,shame,autonomy_guard,expression_drive;warmth_bias,0.1103,0.7407407407407407,warning
1780727131.2485878,data-EST,11,0.7838025677550806,0.7631164983674736,0.8078853958977352,0.8574970633951093,0.19546170807236593,0.3956272709019899,0.9823498775642566,0.5053479146086008,0.490895363217589,0.6586967267089832,0.5823730974933441,observe,0.22311445654207257,0.0,False,True,0.0,0.0,,,perception_acuity;patience,0.0,0.7586206896551724,warning
1780727131.2489212,data-EST,12,0.7824628954361271,0.7631382176765047,0.8060084597549303,0.8539609868945848,0.19320262232587807,0.39956637875865175,0.9767281402031847,0.5093460061179798,0.4991775311250247,0.6540634487105041,0.5869676650794342,observe,0.21195873371496893,0.0,False,True,0.0,0.0,,,perception_acuity;patience,0.0,0.7741935483870968,warning
1780727131.2492385,data-EST,13,0.7822949977467389,0.7611252559583901,0.8076811190828276,0.8536515139451336,0.1887881673181603,0.4056509827955851,0.969724065259829,0.5091200350240441,0.5032654976273763,0.6776870360290003,0.587991108227733,reach_out,0.22658343576994858,0.0,False,True,0.05740103059215157,0.3363,shame,autonomy_guard,relational_gravity;intimacy_pull,0.0214,0.7647058823529411,warning
1780727131.249563,data-EST,14,0.7836281719918337,0.7575056430983874,0.8051450562036386,0.8519997381798763,0.1881544064829864,0.4089920996913225,0.9656851050450174,0.4990663953716171,0.5005455421019859,0.6814654795253667,0.592361833181603,observe,0.21670632900537404,0.0,False,True,0.0,0.0,,,perception_acuity;patience,0.0,0.7777777777777778,warning
1780727131.2498627,data-EST,15,0.7787498621853822,0.7568107900731763,0.800901330399887,0.8576402025070773,0.18277370394446246,0.4174935318452612,0.9592810674393722,0.49254737478912736,0.4915886210453132,0.7085170280359431,0.6030251637233855,reach_out,0.2305925414832076,0.0,False,True,0.0,0.3357,shame,autonomy_guard,relational_gravity;intimacy_pull,0.0215,0.7692307692307693,warning
1780727131.2501533,data-EST,16,0.7724513814960308,0.7556412157167472,0.8051630263980221,0.8550854129901128,0.18178147516511026,0.41679298451430136,0.9613740752208356,0.4946233369737419,0.4881534572343595,0.7061755087815551,0.6061716767990407,observe,0.21987834236915899,0.0,False,True,0.0,0.0,,,perception_acuity;patience,0.0,0.7804878048780488,warning
1780727131.2504482,data-EST,17,0.771200735892423,0.7504861007129159,0.8109572924462883,0.8564611420326684,0.1844564103730424,0.420589007050176,0.9576114534639403,0.4942932191414111,0.48556309874178716,0.7112170496410456,0.6069602528679547,observe,0.20888442525070103,0.0,False,True,0.0666683072135401,0.0,,,perception_acuity;patience,0.0,0.7906976744186046,warning
1780727131.250748,data-EST,18,0.7735952857653967,0.752019967079659,0.8141819018215953,0.8582220929600968,0.18398312947000517,0.41668922151305265,0.9608736408842401,0.49620808261497773,0.4876111191037476,0.7085818845343949,0.6127588615527282,observe,0.1991000259329037,0.0,False,True,0.05621946697249113,0.0,,,perception_acuity;patience,0.0,0.8,warning
1780727131.2510376,data-EST,19,0.7754006165356733,0.756377604351392,0.8168659077518701,0.8645404586752671,0.18671482668526182,0.41658130741041854,0.9627977673387575,0.49648015686506497,0.4830575368464733,0.7074065052169565,0.6136663581769572,observe,0.1891450246362585,0.0,False,True,0.06552323185585622,0.0,,,perception_acuity;patience,0.0,0.8085106382978723,warning
1780727131.2513444,data-EST,20,0.7834591154554755,0.756980718077348,0.8170195360573979,0.8669758609556498,0.18742634448815554,0.43244384194682267,0.960015454352456,0.493674562167056,0.4833572569273905,0.7147843084755132,0.612722066243094,express,0.1890588269668309,0.0,False,True,0.0791635164162578,0.1732,shame,autonomy_guard,expression_drive;warmth_bias,0.0457,0.8,warning
1780727131.2516448,data-EST,21,0.7834370790092167,0.758125292312876,0.8181883591752824,0.8704254168845825,0.18953448145015767,0.4238838698211948,0.9632820066340304,0.4917353382636753,0.48824004605655885,0.7126009309247971,0.6086920264096639,observe,0.1828619566573617,0.0,False,True,0.0,0.0,,,perception_acuity;patience,0.0,0.8076923076923077,warning
